용어명,물리명,도메인유형,도메인,데이터타입,코드명,정의,요청업무,최종요청자,최종수정일시
1회섭취참고량명,RAFOS_NM,명,명V100,VARCHAR(100),,만 3세 이상 소비계층이 통상적으로 소비하는 식품별 1회 섭취량과 시장조사 결과 등을 바탕으로 설정한 값의 이름,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
1회투여량,SGLDS,수,"수N15,4","NUMBER(15,4)",,약물이나 주사제 등이 한번에 몸에 투여되는 양,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
API명,API_NM,명,명V300,VARCHAR(300),,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스의 이름",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
API사용여부,API_USE_YN,여부,여부C1,CHAR(1),,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스를 사용하였는지 여부",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
API설명,API_EXPLN,내용,내용V4000,VARCHAR(4000),,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스에 대한 설명",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
CAS번호,CAS_NO,번호,번호V20,VARCHAR(20),,화학적 동질성을 갖는 물질에 대하여 미국 화학회(化學會)에서 부여하는 식별 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
CCTV고유번호,CCTV_UNQ_NO,번호,번호V50,VARCHAR(50),,특정 수신자를 대상으로 화상을 전송하는 텔레비전 전송 시스템을 구분하려고 부여하는 식별 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
CCTV명,CCTV_NM,명,명V100,VARCHAR(100),,특정 수신자를 대상으로 화상을 전송하는 텔레비전 전송 시스템의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
CI번호,CI_NO,번호,번호V88,VARCHAR(88),,"여러 온라인 서비스에서 동일인을 확인할 수 있는 연계 정보로, 본인인증을 거친 뒤 사업자 간 사용자를 식별할 수 있도록 암호화하여 부여하는 식별 번호",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
CMS계좌번호,CMS_ACTNO,계좌번호,계좌번호V20,VARCHAR(20),,"은행에 직접 가지 않고도 컴퓨터나 단말기를 통신 회선으로 연결하여 은행이 제공하는 각종 금융 거래 정보를 이용하거나, 자금의 효율적 관리, 자금 대체 따위를 할 수 있는 서비스의 계좌번호",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
CMS사용여부,CMS_USE_YN,여부,여부C1,CHAR(1),,"은행에 직접 가지 않고도 컴퓨터나 단말기를 통신 회선으로 연결하여 은행이 제공하는 각종 금융 거래 정보를 이용하거나 자금의 효율적 관리, 자금 대체 따위를 할 수 있는 서비스를 사용하는지 여부",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
CPU명,CPU_NM,명,명V100,VARCHAR(100),,컴퓨터의 중앙처리장치(CPU)의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
CPU사용률,CPU_USGRT,율,"율N5,2","NUMBER(5,2)",,컴퓨터의 중앙처리장치(CPU)를 점유하여 사용하는 비율,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
CPU속도,CPU_SPD,수,"수N10,3","NUMBER(10,3)",,컴퓨터 시스템 전체의 작동을 통제하고 프로그램의 모든 연산을 수행하는 가장 핵심적인 장치가 연산을 처리하는 빠르기,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
DI번호,DI_NO,번호,번호V64,VARCHAR(64),,"중복가입 확인 정보로, 하나의 서비스 내에서 동일 사용자의 중복 가입을 막고, 계정 구분을 위해 부여하는 식별 번호",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
EAI전송여부,EAI_TRSM_YN,여부,여부C1,CHAR(1),,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 통신회선을 이용하여 보냈는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
EAI전송일시,EAI_TRSM_DT,연월일시분초,연월일시분초D,DATE,,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 통신회선을 이용하여 보낸 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
EAI전송일자,EAI_TRSM_YMD,연월일,연월일C8,CHAR(8),,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 통신회선을 이용하여 보낸 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
EAI처리일시,EAI_PRCS_DT,연월일시분초,연월일시분초D,DATE,,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 정리하거나 마무리 지은 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
EAI처리일자,EAI_PRCS_YMD,연월일,연월일C8,CHAR(8),,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 정리하거나 마무리 지은 날짜,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
ERP연계여부,ERP_LINK_YN,여부,여부C1,CHAR(1),,기업의 모든 업무 프로세스와 자원을 통합적으로 관리하는 시스템 및 소프트웨어와 서로 이어져 관계를 맺었는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
ERP전송여부,ERP_TRSM_YN,여부,여부C1,CHAR(1),,기업의 모든 업무 프로세스와 자원을 통합적으로 관리하는 시스템 및 소프트웨어에 통신회선을 이용하여 보냈는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
ERP전송일시,ERP_TRSM_DT,연월일시분초,연월일시분초D,DATE,,기업의 모든 업무 프로세스와 자원을 통합적으로 관리하는 시스템 및 소프트웨어에 통신회선을 이용하여 보낸 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
ESB연계일시,ESB_LINK_DT,연월일시분초,연월일시분초D,DATE,,여러 이기종 시스템을 효율적으로 연계하는 미들웨어 플랫폼과 서로 이어져 관계를 맺은 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
FAQ내용,FAQ_CN,내용,내용V4000,VARCHAR(4000),,많은 사람이 자주 물어보는 질문과 그에 대한 답을 정리해 놓은 문서의 내용,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
FAQ일련번호,FAQ_SN,일련번호,일련번호N22,NUMBER(22),,많은 사람이 자주 물어보는 질문과 그에 대한 답을 정리해 놓은 문서에 일정한 방식으로 연속되게 매긴 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
FAQ제목,FAQ_TTL,명,명V256,VARCHAR(256),,많은 사람이 자주 물어보는 질문과 그에 대한 답을 정리해 놓은 문서의 제목,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
G2B계약번호,G2B_CTRT_NO,번호,번호V20,VARCHAR(20),,정부와 기업 간의 거래를 종류에 따라서 가름하는 것을 이용하여 관련되는 사람이나 조직체 사이에서 서로 지켜야 할 의무를 글이나 말로 정하는 것에 부여하는 식별 번호,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
G2B분류번호,G2B_CLSF_NO,번호,번호V20,VARCHAR(20),,조달 물품을 종류에 따라 분류하기 위하여 부여하는 식별 번호,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
G2B식별번호,G2B_IDNTF_NO,번호,번호V20,VARCHAR(20),,조달 물품을 개별적으로 분별하여 알아보려고 부여하는 식별 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
GIS자료여부,GIS_DATA_YN,여부,여부C1,CHAR(1),,지도에 관한 속성 정보를 해석하는 지도 정보 시스템의 데이터인지 여부,공공데이터 공통표준용어 4차(2021-12),행정안전부,2021-12-01 00:00:00
HTML내용,HTML_CN,내용,내용V4000,VARCHAR(4000),,하이퍼링크를 사용하는 컴퓨터 언어의 내용,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
HTML사용여부,HTML_USE_YN,여부,여부C1,CHAR(1),,하이퍼링크를 사용하는 컴퓨터 언어를 사용할지 여부,공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
HTML여부,HTML_YN,여부,여부C1,CHAR(1),,하이퍼링크를 사용하는 컴퓨터 언어인지 여부,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
IMO번호,IMO_NO,번호,번호V10,VARCHAR(10),,국제해사기구가 선박을 구분하여 알아보려고 부여하는 식별 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
IP주소,IP_ADDR,주소,주소V15,VARCHAR(15),,"OSI 모델의 제3계층(네트워크층)에 해당되는 프로토콜로 IP계층에 따라 다른 네트워크 간 패킷의 전송, 즉 경로 제어를 위한 규약에 따른 주소",공공데이터 공통표준용어 2차(2020-12),행정안전부,2020-12-01 00:00:00
MAC주소,MAC_ADDR,주소,주소V17,VARCHAR(17),,대부분의 네트워크 인터페이스 어댑터(NIC)에 부여된 고유한 식별자,공공데이터 공통표준용어 2차(2020-12),행정안전부,2020-12-01 00:00:00
MMS제목,MMS_TTL,명,명V256,VARCHAR(256),,"3세대 이동통신 서비스의 기본 요소로서 정지 영상, 음악, 음성 및 동영상 등의 다양한 형식의 데이터를 주고받는 메시지를 대표하여 붙이는 이름",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
OTP사용여부,OTP_USE_YN,여부,여부C1,CHAR(1),,사용자 인증을 위하여 로그인을 할 때마다 매번 새로 생성되는 비밀번호를 사용했는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
PDF파일경로명,PDF_FILE_PATH_NM,명,명V300,VARCHAR(300),,원본 문서가 어떠한 애플리케이션에서 작성되었는지에 상관없이 여러 플랫폼 환경에서 문서를 동일하게 출력하고 디스플레이할 수 있도록 해 주는 파일이 위치한 경로의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
PDF파일명,PDF_FILE_NM,명,명V300,VARCHAR(300),,원본 문서가 어떤 애플리케이션에서 작성되었는지에 상관없이 여러 플랫폼 환경에서 문서를 동일하게 출력하고 디스플레이 할 수 있도록 해주는 포맷으로 작성된 파일의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
PG거래번호,PG_DLNG_NO,번호,번호V20,VARCHAR(20),,인터넷상에서 금융 기관과 하는 결제를 대행해 주는 회사가 각각의 결제 건에 부여하는 식별 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
POS번호,POS_NO,번호,번호V20,VARCHAR(20),,"상점의 전자식 금전 등록기, 정찰 판독 장치 등을 컴퓨터에 연결하여 상품이나 서비스 데이터를 관리하는 시스템에 부여하는 식별 번호",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
PQ대상여부,PQ_TRGT_YN,여부,여부C1,CHAR(1),,입찰 전 사업수행능력 사전심사를 거쳐 일정 수준 이상의 역량과 신뢰도를 갖춘 업체만 공사나 용역 입찰에 참가할 수 있도록 제한하는 제도의 적용 대상인지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
PQ심사여부,PQ_SRNG_YN,여부,여부C1,CHAR(1),,"입찰에 참여하려는 업체에 대하여 사업 수행 능력, 재무 건전성, 기술 역량, 신뢰도 등을 종합적으로 평가하는 사전심사 제도를 통해 심사를 하였는지 여부",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
QR코드이미지명,QRCD_IMG_NM,명,명V256,VARCHAR(256),,"컴퓨터로 만든 흑백 격자무늬 코드로, 정보를 나타내는 복합 부호 형식의 이차원 코드의 이름",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
RFID번호,RFID_NO,번호,번호V50,VARCHAR(50),,전파 신호를 통해 비접촉식으로 사물에 부착된 얇은 평면 형태의 태그를 식별하여 정보를 처리하는 시스템에 부여하는 식별 번호,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
RSS사용여부,RSS_USE_YN,여부,여부C1,CHAR(1),,웹 사이트 간의 자료 교환 및 배급을 위한 확장성 링크 언어(XML) 기반의 규격을 사용했는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SMS내용,SMS_CN,내용,내용V2000,VARCHAR(2000),,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자 메시지에서 전하고자 하는 내용",공공데이터 공통표준용어 2차(2020-12),행정안전부,2020-12-01 00:00:00
SMS발송여부,SMS_SNDNG_YN,여부,여부C1,CHAR(1),,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자를 발송했는지 여부",공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
SMS사용여부,SMS_USE_YN,여부,여부C1,CHAR(1),,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 문자 메시지를 목적에 맞게 주고받을 수 있는지 여부",공공데이터 공통표준용어 4차(2021-12),행정안전부,2021-12-01 00:00:00
SMS수신동의여부,SMS_RCPTN_AGRE_YN,여부,여부C1,CHAR(1),,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자의 수신을 허락하는지 여부",공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
SMS수신여부,SMS_RCPTN_YN,여부,여부C1,CHAR(1),,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자를 수신했는지 여부",공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
SMS수신일자,SMS_RCPTN_YMD,연월일,연월일C8,CHAR(8),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 받은 날짜",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SMS수신자명,SMS_RCVR_NM,명,명V100,VARCHAR(100),,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 간단한 단문의 메시지를 주고받을 수 있는 문자 서비스를 받는 사람의 이름",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SMS수신전화번호,SMS_RCPTN_TELNO,전화번호,전화번호V11,VARCHAR(11),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 수신하는 전화번호",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
SMS신청여부,SMS_APLY_YN,여부,여부C1,CHAR(1),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자의 수신을 알려 청하였는지 여부",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
SMS유형명,SMS_TYPE_NM,명,명V300,VARCHAR(300),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자의 성질이나 특징 따위가 공통적인 것끼리 묶은 틀에 붙인 이름",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
SMS인증번호,SMS_CERT_NO,번호,번호V20,VARCHAR(20),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통해 본인임을 확인하기 위하여 부여하는 식별 번호",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SMS인증여부,SMS_CERT_YN,여부,여부C1,CHAR(1),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자로 어떠한 문서나 행위가 정당한 절차로 이루어졌다는 것을 공적 기관이 증명했는지 여부",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SMS전송건수,SMS_TRSM_NOCS,수,수N10,NUMBER(10),,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자를 전송한 건수",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SMS전송내용,SMS_TRSM_CN,내용,내용V4000,VARCHAR(4000),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보낸 내용",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
SMS전송대상여부,SMS_TRSM_TRGT_YN,여부,여부C1,CHAR(1),,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자를 전송하는 대상인지 여부",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SMS전송시각,SMS_TRSM_TM,시분초,시분초C6,CHAR(6),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보낸 어느 한 시점",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SMS전송여부,SMS_TRSM_YN,여부,여부C1,CHAR(1),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보냈는지 여부",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
SMS전송일련번호,SMS_TRSM_SN,일련번호,일련번호N22,NUMBER(22),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이도 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보낸 것에 일정한 방식으로 연속되게 매긴 번호",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
SMS전송일시,SMS_TRSM_DT,연월일시분초,연월일시분초D,DATE,,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보낸 날짜와 시각",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
SMS전송일자,SMS_TRSM_YMD,연월일,연월일C8,CHAR(8),,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보낸 날짜",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
SMS전송전화번호,SMS_TRSM_TELNO,전화번호,전화번호V11,VARCHAR(11),,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 간단한 단문의 메시지를 주고받을 수 있는 문자 서비스를 보낸 전화번호",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SMS제목,SMS_TTL,명,명V256,VARCHAR(256),,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 간단한 단문의 메시지를 주고받는 문자를 대표하여 붙이는 이름",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SNS내용,SNS_CN,내용,내용V4000,VARCHAR(4000),,동일한 관심 또는 특성을 갖는 사람들이 연결될 수 있도록 온라인 기반의 개인 간 소셜 네트워크를 만들고 운영하는 데 초점을 맞춘 서비스의 내용,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SNS등록일자,SNS_REG_YMD,연월일,연월일C8,CHAR(8),,동일한 관심 또는 특성을 갖는 사람들이 연결될 수 있도록 온라인 기반의 개인 간 소셜 네트워크를 만들고 운영하는 데 초점을 맞춘 서비스에 등록한 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SNS사용여부,SNS_USE_YN,여부,여부C1,CHAR(1),,동일한 관심 또는 특성을 갖는 사람들이 연결될 수 있도록 온라인 기반의 개인 간 소셜 네트워크를 만들고 운영하는 데 초점을 맞춘 서비스를 사용했는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SQL내용,SQL_CN,내용,내용V4000,VARCHAR(4000),,관계형 데이터베이스 관리 시스템(RDBMS)의 조작과 관리를 위해 작성한 표준 질의 언어의 내용,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
SSL사용여부,SSL_USE_YN,여부,여부C1,CHAR(1),,인터넷상에서 데이터 통신 보안을 제공하는 암호 프로토콜을 사용했는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
SSO사용여부,SSO_USE_YN,여부,여부C1,CHAR(1),,한 번 인증으로 여러 시스템을 이용 가능하도록 하는 통합 로그인 기술을 사용하는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
TV수신료,TVSFE,요금,요금N15,NUMBER(15),,텔레비전 방송 따위의 신호를 받는 대가로 치르는 요금,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
URL주소,URL_ADDR,주소,주소V2000,VARCHAR(2000),,확인된 리소스가 어디에 있는지 또 이를 탐색하는 메커니즘이 어디에 있는지를 규정하는 URL로 정의된 주소,공공데이터 공통표준용어 2차(2020-12),행정안전부,2020-12-01 00:00:00
VOC내용,VOC_CN,내용,내용V2000,VARCHAR(2000),,"콜센터에 접수된 제품이나 서비스에 대한 고객의 의견, 요구사항, 불만 사항의 내용",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
VOC접수번호,VOC_RCPT_NO,번호,번호V50,VARCHAR(50),,"콜센터에 접수된 제품이나 서비스에 대한 고객의 의견, 요구사항, 불만 사항을 구두나 문서로 받은 것에 부여하는 식별 번호",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
VOC제목,VOC_TTL,명,명V256,VARCHAR(256),,"콜센터에 접수된 제품이나 서비스에 대한 고객의 의견, 요구사항, 불만 사항을 구두나 문서로 받은 것에 대표하여 붙이는 이름",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
WBS명,WBS_NM,명,명V100,VARCHAR(100),,프로젝트 과업과 하위 과업 그리고 작업 단위의 계층을 나타내는 구조의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
XML파일명,XML_FILE_NM,명,명V300,VARCHAR(300),,데이터를 저장하고 전달하는 데 사용되는 다목적 마크업 언어 파일의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
X좌표,XCRD,좌표,"좌표N13,10","NUMBER(13,10)",,"직선·평면·공간에서 점의 위치를 나타낼 때, 원점에서 직각으로 만나는 두 좌표축(X축과 Y축)을 사용해서 X축에 내린 수선의 눈금인 X, 즉 그 점의 가로좌표",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
Y좌표,YCRD,좌표,"좌표N13,10","NUMBER(13,10)",,"직선·평면·공간에서 점의 위치를 나타낼 때, 원점에서 직각으로 만나는 두 좌표축(X축과 Y축)을 사용해서 Y축에 내린 수선의 눈금인 Y, 즉 그 점의 세로좌표",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
Z좌표,ZCRD,좌표,"좌표N13,10","NUMBER(13,10)",,3차원의 데카르트 좌표계에서 가로축(X축)과 세로축(Y축)에 대하여 직각이 되는 제3의 축(Z축),공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가감금액,ADSB_AMT,금액,금액N15,NUMBER(15),,더하거나 뺀 돈의 액수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가감점수,ADSB_SCR,수,수N7,NUMBER(7),,더하거나 뺀 점수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가결여부,PSD_YN,여부,여부C1,CHAR(1),,"회의에서, 제출된 의안을 합당하다고 결정했는지 여부",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가계수표금액,PSCK_AMT,금액,금액N15,NUMBER(15),,은행에 가계 종합 예금 계좌를 가진 사람이 그 은행 앞으로 발행하는 소액 수표에 기재된 돈의 액수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가구수,HSHD_CNT,수,수N10,NUMBER(10),,일정한 범위 또는 단위 내에 거주하는 가구의 전체 수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가능여부,PSBLTY_YN,여부,여부C1,CHAR(1),,할 수 있는지 여부,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
가동개시일자,OPRTNG_STRT_YMD,연월일,연월일C8,CHAR(8),,사람이나 기계 등이 움직이거나 행동을 시작한 날짜,공공데이터 공통표준용어 4차(2021-12),행정안전부,2021-12-01 00:00:00
가동률,OPRT,율,"율N5,2","NUMBER(5,2)",,생산 설비가 가동될 수 있는 최대 시간과 실지로 가동한 시간의 비율,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가동시간,OPRTNG_HR,시분초,시분초C6,CHAR(6),,사람이나 기계 등이 움직이거나 작동하는 데 걸리는 일정한 시간,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가동여부,OPRTNG_YN,여부,여부C1,CHAR(1),,사람이나 기계 등이 움직이거나 작동을 시작했는지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가동일수,OPRTNG_DAY_CNT,수,수N7,NUMBER(7),,사람이나 기계 등이 움직이거나 작동한 날의 수,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가동일자,OPRTNG_YMD,연월일,연월일C8,CHAR(8),,사람이나 기계 등이 움직이거나 작동한 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가동종료일자,OPRTNG_END_YMD,연월일,연월일C8,CHAR(8),,사람이나 기계 등이 움직이거나 행동을 끝마친 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가로길이,WDTH_LEN,수,수N7,NUMBER(7),,어떤 대상의 왼쪽 끝에서 오른쪽 끝까지의 거리,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가맹점대표자명,FRCS_RPRSV_NM,명,명V100,VARCHAR(100),,어떤 조직의 동맹이나 연맹에 든 상점 전체를 대표하는 사람의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가맹점명,FRCS_NM,명,명V200,VARCHAR(200),,어떤 조직의 동맹이나 연맹에 든 가게나 상점에 붙인 이름,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
가맹점번호,FRCS_NO,번호,번호V20,VARCHAR(20),,어떤 조직의 동맹이나 연맹에 든 가게나 상점에 부여하는 식별 번호,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
