용어명,물리명,도메인유형,도메인,데이터타입,코드명,정의,요청업무,최종요청자,최종수정일시
분석장비명,ANLS_EQPMNT_NM,명,명V100,VARCHAR(100),,얽혀 있거나 복잡한 것을 풀어서 개별적인 요소나 성질로 나누는 분석을 수행하기 위해 갖추어 놓은 장치나 설비의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
분석종료일시,ANLS_END_DT,연월일시분초,연월일시분초D,DATE,,얽혀 있거나 복잡한 것을 풀어서 개별적인 요소나 성질로 나누는 것을 끝마친 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분석종료일자,ANLS_END_YMD,연월일,연월일C8,CHAR(8),,얽혀 있거나 복잡한 것을 풀어서 개별적인 요소나 성질로 나누는 것을 끝마친 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분석차수,ANLS_CYCL,수,수N7,NUMBER(7),,얽혀 있거나 복잡한 것을 풀어서 개별적인 요소나 성질로 나눈 것의 주기나 경과의 시기를 나타낸 수,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분석항목명,ANLS_ARTCL_NM,명,명V100,VARCHAR(100),,얽혀 있거나 복잡한 것을 풀어서 개별적인 요소나 성질로 나눈 것의 낱낱의 부분이나 갈래의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분실사유,LOST_RSN,내용,내용V4000,VARCHAR(4000),,자기도 모르는 사이에 물건 따위를 잃어버린 이유,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분실여부,LOST_YN,여부,여부C1,CHAR(1),,자기도 모르는 사이에 물건 따위를 잃어버렸는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분실일시,LOST_DT,연월일시분초,연월일시분초D,DATE,,물건 따위를 잃어버린 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
분실일자,LOST_YMD,연월일,연월일C8,CHAR(8),,물건 따위를 잃어버린 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분야명,FLD_NM,명,명V100,VARCHAR(100),,여러 갈래로 나눈 범위나 부분의 이름,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
분야설명,FLD_EXPLN,내용,내용V4000,VARCHAR(4000),,여러 갈래로 나누어진 범위나 부분에 대한 설명,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분야영문명,FLD_ENG_NM,명,명V100,VARCHAR(100),,여러 갈래로 나누어진 범위나 부분에 대한 영문 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분양가,LTOTPR,가격,가격N15,NUMBER(15),,토지나 건물 따위를 나누어 파는 가격,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분양금액,LTOT_AMT,금액,금액N15,NUMBER(15),,토지나 건물 따위를 여러 부분으로 갈라서 여럿에게 나누어 팔 때 실제로 지불하는 돈의 액수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
분양면적,LTOTAR,면적,"면적N19,9","NUMBER(19,9)",,토지나 건물 따위를 나누어 파는 것의 면적,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분양비율,LTOT_RT,율,"율N5,2","NUMBER(5,2)",,토지나 건물 따위를 전체에서 나누어 판 것을 백분율로 산정한 것,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분양세대수,LTOT_HH_CNT,수,수N10,NUMBER(10),,주택 건설 사업자가 분양하는 세대의 수,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분양여부,LTOT_YN,여부,여부C1,CHAR(1),,전체를 여러 부분으로 갈라서 여럿에게 나누어 줬는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분양일자,LTOT_YMD,연월일,연월일C8,CHAR(8),,토지나 건물 따위를 나누어 판 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
